County,Candidate,Bpercent,Hpercent,
Adair,Hillary Clinton,44,56,
Adams,Hillary Clinton,43,57,
Allamakee,Hillary Clinton,49,51,
Appanoose,Hillary Clinton,45,55,
Audubon,Hillary Clinton,37,63,
Benton,Hillary Clinton,44,56,
Black Hawk,Bernie Sanders,53,47,
Boone,Bernie Sanders,55,45,
Bremer,Hillary Clinton,45,53,
Buchanan,Hillary Clinton,47,53,
Buena Vista,Hillary Clinton,48,48,
Butler,Bernie Sanders,58,42,
Calhoun,Hillary Clinton,50,50,
Carroll,Hillary Clinton,37,63,
Cass,Hillary Clinton,38,60,
Cedar,Bernie Sanders,56,44,
Cerro Gordo,Hillary Clinton,50,50,
Cherokee,Bernie Sanders,55,45,
Chickasaw,Hillary Clinton,39,60,
Clarke,Hillary Clinton,42,58,
Clay,Bernie Sanders,51,49,
Clayton,Bernie Sanders,51,49,
Clinton,Bernie Sanders,51,49,
Crawford,Hillary Clinton,42,45,
Dallas,Hillary Clinton,42,57,
Davis,Hillary Clinton,42,58,
Decatur,Hillary Clinton,47,50,
Delaware,Hillary Clinton,43,55,
Des Moines,Bernie Sanders,53,47,
Dickinson,Bernie Sanders,51,49,
Dubuque,Hillary Clinton,47,52,
Emmet,Hillary Clinton,44,56,
Fayette,Hillary Clinton,47,53,
Floyd,Hillary Clinton,43,57,
Franklin,Hillary Clinton,42,57,
Fremont,Bernie Sanders,50,44,
Greene,Hillary Clinton,46,54,
Grundy,Bernie Sanders,52,47,
Guthrie,Hillary Clinton,45,55,
Hamilton,Hillary Clinton,41,59,
Hancock,Hillary Clinton,39,61,
Hardin,Hillary Clinton,42,58,
Harrison,Bernie Sanders,55,45,
Henry,Hillary Clinton,50,50,
Howard,Bernie Sanders,54,46,
Humboldt,Hillary Clinton,44,56,
Ida,Hillary Clinton,47,53,
Iowa,Hillary Clinton,49,51,
Jackson,Hillary Clinton,46,50,
Jasper,Hillary Clinton,45,52,
Jefferson,Bernie Sanders,73,27,
Johnson,Bernie Sanders,59,40,
Jones,Bernie Sanders,53,47,
Keokuk,Hillary Clinton,35,63,
Kossuth,Hillary Clinton,36,61,
Lee,Hillary Clinton,45,55,
Linn,Bernie Sanders,52,47,
Louisa,Hillary Clinton,42,56,
Lucas,Hillary Clinton,40,60,
Lyon,Bernie Sanders,57,40,
Madison,Hillary Clinton,47,53,
Mahaska,Hillary Clinton,44,56,
Marion,Hillary Clinton,48,50,
Marshall,Bernie Sanders,53,47,
Mills,Hillary Clinton,49,51,
Mitchell,Hillary Clinton,34,65,
Monona,Hillary Clinton,39,60,
Monroe,Bernie Sanders,45,43,
Montgomery,Bernie Sanders,64,36,
Muscatine,Bernie Sanders,54,46,
O'Brien,Hillary Clinton,47,51,
Osceola,Hillary Clinton,38,57,
Page,Bernie Sanders,51,49,
Palo Alto,Hillary Clinton,47,53,
Plymouth,Hillary Clinton,45,55,
Pocahontas,Hillary Clinton,30,66,
Polk,Hillary Clinton,46,53,
Pottawattamie,Bernie Sanders,51,49,
Poweshiek,Bernie Sanders,53,47,
Ringgold,Hillary Clinton,34,66,
Sac,Hillary Clinton,45,55,
Scott,Bernie Sanders,51,49,
Shelby,Bernie Sanders,58,42,
Sioux,Bernie Sanders,51,48,
Story,Bernie Sanders,60,40,
Tama,Hillary Clinton,47,53,
Taylor,Hillary Clinton,30,70,
Union,Bernie Sanders,54,46,
Van Buren,Bernie Sanders,53,47,
Wapello,Hillary Clinton,45,55,
Warren,Hillary Clinton,43,55,
Washington,Hillary Clinton,46,54,
Wayne,Hillary Clinton,35,65,
Webster,Hillary Clinton,45,54,
Winnebago,Bernie Sanders,58,42,
Winneshiek,Bernie Sanders,56,44,
Woodbury,Bernie Sanders,53,46,
Worth,Bernie Sanders,55,45,
Wright,Hillary Clinton,45,55,
,,,,
