County,Candidate,DonaldTrump,TedCruz,MarcoRubio,BenCarson
Adair,Ted Cruz,25.68%,25.68%,19.75%,15.06%
Adams,Ted Cruz,25.00%,29.78%,17.28%,11.03%
Allamakee,Donald Trump,28.13%,26.68%,19.10%,11.22%
Appanoose,Donald Trump,34.80%,32.06%,10.73%,10.97%
Audubon,Ted Cruz,26.47%,36.10%,14.97%,8.82%
Benton,Ted Cruz,25.09%,36.47%,15.06%,10.47%
Black Hawk,Ted Cruz,23.02%,26.83%,26.25%,8.41%
Boone,Ted Cruz,23.45%,32.21%,18.21%,10.07%
Bremer,Ted Cruz,23.29%,27.38%,26.11%,8.99%
Buchanan,Ted Cruz,25.93%,36.80%,13.14%,9.80%
Buena Vista,Ted Cruz,24.88%,30.62%,21.90%,9.61%
Butler,Ted Cruz,24.18%,36.48%,15.93%,11.87%
Calhoun,Ted Cruz,24.42%,28.55%,21.72%,6.64%
Carroll,Donald Trump,29.07%,24.98%,22.44%,6.73%
Cass,Donald Trump,28.35%,24.35%,19.05%,15.37%
Cedar,Ted Cruz,26.41%,29.14%,22.56%,9.40%
Cerro Gordo,Ted Cruz,25.72%,28.22%,19.22%,7.93%
Cherokee,Donald Trump,29.59%,18.74%,29.00%,14.20%
Chickasaw,Donald Trump,27.67%,26.83%,23.83%,9.50%
Clarke,Donald Trump,36.27%,27.83%,15.80%,10.05%
Clay,Donald Trump,28.52%,28.42%,14.55%,15.14%
Clayton,Ted Cruz,29.43%,35.22%,12.88%,7.92%
Clinton,Donald Trump,30.75%,26.93%,19.90%,6.90%
Crawford,Ted Cruz,30.62%,32.33%,16.31%,9.01%
Dallas,Ted Cruz,20.74%,23.22%,33.91%,6.72%
Davis,Donald Trump,38.61%,31.64%,7.16%,6.97%
Decatur,Ted Cruz,25.55%,34.81%,14.69%,16.10%
Delaware,Ted Cruz,22.15%,35.46%,19.24%,10.29%
Des Moines,Donald Trump,30.48%,28.35%,20.86%,9.81%
Dickinson,Donald Trump,28.48%,21.65%,23.81%,13.24%
Dubuque,Donald Trump,27.35%,20.73%,26.67%,9.66%
Emmet,Ted Cruz,30.27%,35.48%,11.41%,12.16%
Fayette,Ted Cruz,24.00%,34.10%,18.00%,14.40%
Floyd,Ted Cruz,26.32%,40.13%,13.82%,10.92%
Franklin,Ted Cruz,25.32%,35.83%,16.72%,9.87%
Fremont,Donald Trump,42.82%,20.47%,18.12%,9.41%
Greene,Donald Trump,30.04%,29.67%,14.10%,11.36%
Grundy,Ted Cruz,20.93%,28.75%,27.59%,7.72%
Guthrie,Ted Cruz,27.59%,28.91%,15.65%,14.19%
Hamilton,Ted Cruz,28.17%,29.01%,16.65%,9.32%
Hancock,Ted Cruz,18.85%,45.35%,15.55%,8.36%
Hardin,Ted Cruz,23.25%,32.86%,17.73%,10.87%
Harrison,Donald Trump,30.91%,27.67%,10.99%,21.69%
Henry,Ted Cruz,22.52%,31.27%,18.81%,15.59%
Howard,Donald Trump,30.52%,28.88%,24.25%,7.08%
Humboldt,Donald Trump,33.72%,27.77%,18.35%,7.93%
Ida,Donald Trump,25.90%,25.71%,25.71%,8.19%
Iowa,Ted Cruz,24.10%,34.17%,15.78%,10.16%
Jackson,Donald Trump,32.97%,28.56%,18.21%,6.90%
Jasper,Ted Cruz,25.10%,34.95%,17.95%,8.91%
Jefferson,Ted Cruz,26.30%,31.84%,12.26%,7.90%
Johnson,Marco Rubio,19.30%,19.56%,30.56%,7.35%
Jones,Ted Cruz,24.95%,35.11%,16.15%,10.35%
Keokuk,Donald Trump,31.43%,30.86%,16.57%,9.00%
Kossuth,Ted Cruz,23.65%,30.10%,20.06%,15.84%
Lee,Donald Trump,31.10%,25.40%,18.94%,11.94%
Linn,Ted Cruz,20.17%,29.45%,24.31%,9.23%
Louisa,Donald Trump,36.05%,35.50%,10.50%,6.08%
Lucas,Ted Cruz,27.04%,36.22%,13.44%,11.56%
Lyon,Ted Cruz,15.63%,39.02%,20.69%,18.61%
Madison,Ted Cruz,27.71%,33.58%,18.57%,7.95%
Mahaska,Ted Cruz,21.49%,34.15%,18.79%,10.67%
Marion,Ted Cruz,18.77%,35.20%,21.10%,9.47%
Marshall,Ted Cruz,26.16%,27.11%,21.60%,9.72%
Mills,Donald Trump,26.76%,21.77%,23.64%,16.24%
Mitchell,Donald Trump,25.48%,24.20%,11.89%,12.95%
Monona,Ted Cruz,30.47%,36.13%,18.36%,8.01%
Monroe,Ted Cruz,31.42%,36.04%,17.93%,4.62%
Montgomery,Ted Cruz,20.67%,23.29%,21.72%,14.89%
Muscatine,Donald Trump,29.83%,23.86%,26.30%,5.43%
O'Brien,Ted Cruz,21.05%,28.54%,23.11%,18.09%
Osceola,Ted Cruz,23.85%,34.56%,17.13%,12.84%
Page,Ted Cruz,26.61%,28.56%,17.89%,18.00%
Palo Alto,Donald Trump,27.08%,25.46%,21.76%,9.26%
Plymouth,Donald Trump,32.77%,28.10%,19.78%,10.34%
Pocahontas,Ted Cruz,22.77%,38.72%,13.46%,14.49%
Polk,Donald Trump,21.77%,25.31%,26.93%,7.39%
Pottawattamie,Donald Trump,34.52%,21.56%,17.17%,12.43%
Poweshiek,Ted Cruz,26.25%,28.69%,18.62%,7.73%
Ringgold,Donald Trump,32.02%,25.38%,15.11%,15.71%
Sac,Donald Trump,31.69%,27.95%,12.11%,9.12%
Scott,Marco Rubio,25.29%,24.58%,26.20%,5.46%
Shelby,Ted Cruz,27.25%,27.79%,17.32%,14.63%
Sioux,Ted Cruz,10.93%,33.17%,31.98%,14.93%
Story,Marco Rubio,15.31%,24.12%,32.09%,8.52%
Tama,Donald Trump,35.61%,31.23%,12.51%,8.44%
Taylor,Donald Trump,37.04%,19.58%,13.76%,16.67%
Union,Ted Cruz,27.64%,28.92%,19.23%,12.39%
Van Buren,Ted Cruz,28.44%,36.91%,11.86%,10.55%
Wapello,Donald Trump,35.47%,29.30%,14.50%,7.61%
Warren,Ted Cruz,25.79%,29.42%,20.59%,9.82%
Washington,Ted Cruz,21.31%,35.10%,14.38%,12.56%
Wayne,Ted Cruz,27.21%,40.81%,13.60%,8.59%
Webster,Donald Trump,27.34%,27.15%,17.98%,7.54%
Winnebago,Ted Cruz,18.64%,30.31%,20.75%,14.75%
Winneshiek,Donald Trump,26.30%,24.09%,19.96%,14.49%
Woodbury,Donald Trump,31.65%,27.04%,21.07%,7.79%
Worth,Ted Cruz,30.13%,30.67%,14.67%,6.67%
Wright,Ted Cruz,22.95%,33.81%,22.06%,10.32%
